judge,dataset,metric,scale,spearman,kendall,n
gemma2_9b,wp_a,rel,3,0.520813,0.432270,400
gemma2_9b,wp_a,rel,5,0.552144,0.447774,400
gemma2_9b,wp_a,rel,7,0.594162,0.476723,400
gemma3_27b,summeval,coh,3,0.549992,0.468516,1600
gemma3_27b,summeval,coh,5,0.590555,0.496374,1600
gemma3_27b,summeval,coh,7,0.597496,0.496278,1600
gemma3_27b,summeval,con,3,0.606252,0.581393,1600
gemma3_27b,summeval,con,5,0.623964,0.593679,1600
gemma3_27b,summeval,con,7,0.457659,0.429115,1600
gemma3_27b,summeval,flu,3,0.223788,0.210907,1600
gemma3_27b,summeval,flu,5,0.294042,0.268336,1600
gemma3_27b,summeval,flu,7,0.273708,0.251471,1600
gemma3_27b,summeval,rel,3,0.440319,0.380796,1600
gemma3_27b,summeval,rel,5,0.496368,0.418821,1600
gemma3_27b,summeval,rel,7,0.528402,0.438190,1600
gemma3_27b,newsroom,coh,3,0.413555,0.348940,420
gemma3_27b,newsroom,coh,5,0.483045,0.402467,420
gemma3_27b,newsroom,coh,7,0.528139,0.441124,419
gemma3_27b,newsroom,flu,3,0.449936,0.380292,420
gemma3_27b,newsroom,flu,5,0.522643,0.435713,420
gemma3_27b,newsroom,flu,7,0.476133,0.393420,420
gemma3_27b,newsroom,inf,3,0.457894,0.380251,419
gemma3_27b,newsroom,inf,5,0.488644,0.392535,419
gemma3_27b,newsroom,inf,7,0.509722,0.411013,419
gemma3_27b,newsroom,rel,3,0.487763,0.411301,420
gemma3_27b,newsroom,rel,5,0.522367,0.431929,420
gemma3_27b,newsroom,rel,7,0.548159,0.456429,420
gemma3_27b,tc,coh,3,0.508412,0.442335,360
gemma3_27b,tc,coh,5,0.588177,0.500677,360
gemma3_27b,tc,coh,7,0.561014,0.469720,360
gemma3_27b,tc,eng,3,0.546988,0.468151,360
gemma3_27b,tc,eng,5,0.567700,0.475742,360
gemma3_27b,tc,eng,7,0.620132,0.519452,360
gemma3_27b,tc,gro,3,0.430365,0.385116,360
gemma3_27b,tc,gro,5,0.517230,0.440040,359
gemma3_27b,tc,gro,7,0.524473,0.442256,359
gemma3_27b,tc,nat,3,0.460143,0.390836,360
gemma3_27b,tc,nat,5,0.571263,0.469341,360
gemma3_27b,tc,nat,7,0.582788,0.477081,360
gemma3_27b,wp_a,coh,3,0.486226,0.403948,400
gemma3_27b,wp_a,coh,5,0.515441,0.414051,400
gemma3_27b,wp_a,coh,7,0.543392,0.431519,400
gemma3_27b,wp_a,enj,3,0.386391,0.318791,400
gemma3_27b,wp_a,enj,5,0.420932,0.340814,400
gemma3_27b,wp_a,enj,7,0.421337,0.327286,400
gemma3_27b,wp_a,gra,3,0.332469,0.288456,400
gemma3_27b,wp_a,gra,5,0.350132,0.296412,400
gemma3_27b,wp_a,gra,7,0.393393,0.320543,400
gemma3_27b,wp_a,rel,3,0.575660,0.475462,400
gemma3_27b,wp_a,rel,5,0.613656,0.494288,400
gemma3_27b,wp_a,rel,7,0.624033,0.499013,400
qwen3_4b,summeval,coh,3,0.299492,0.255675,1600
qwen3_4b,summeval,coh,5,0.325867,0.278064,1600
qwen3_4b,summeval,coh,7,0.343836,0.291007,1600
qwen3_4b,summeval,con,3,0.450975,0.433664,1600
qwen3_4b,summeval,con,5,0.247446,0.237141,1600
qwen3_4b,summeval,con,7,0.374063,0.350884,1600
qwen3_4b,summeval,flu,3,0.067170,0.063465,1600
qwen3_4b,summeval,flu,5,0.075231,0.071081,1600
qwen3_4b,summeval,flu,7,0.207506,0.196060,1600
qwen3_4b,summeval,rel,3,0.201762,0.174813,1600
qwen3_4b,summeval,rel,5,0.171336,0.148065,1600
qwen3_4b,summeval,rel,7,0.185107,0.158013,1600
qwen3_4b,newsroom,coh,3,0.322504,0.276490,420
qwen3_4b,newsroom,coh,5,0.331486,0.282668,420
qwen3_4b,newsroom,coh,7,0.382329,0.318714,420
qwen3_4b,newsroom,flu,3,-0.079343,-0.068684,420
qwen3_4b,newsroom,flu,5,-0.226487,-0.196060,420
qwen3_4b,newsroom,flu,7,-0.069376,-0.060056,420
qwen3_4b,newsroom,inf,3,0.354119,0.302758,420
qwen3_4b,newsroom,inf,5,0.424023,0.362270,420
qwen3_4b,newsroom,inf,7,0.384781,0.313944,420
qwen3_4b,newsroom,rel,3,0.490743,0.417056,420
qwen3_4b,newsroom,rel,5,0.457683,0.390832,420
qwen3_4b,newsroom,rel,7,0.517664,0.427608,420
qwen3_4b,tc,coh,3,0.297768,0.272297,360
qwen3_4b,tc,coh,5,0.352365,0.314383,360
qwen3_4b,tc,coh,7,0.359992,0.307263,360
qwen3_4b,tc,eng,3,0.503369,0.429791,360
qwen3_4b,tc,eng,5,0.523381,0.432885,360
qwen3_4b,tc,eng,7,0.599071,0.494558,360
qwen3_4b,tc,gro,3,0.398578,0.361970,360
qwen3_4b,tc,gro,5,0.382428,0.332700,360
qwen3_4b,tc,gro,7,0.442885,0.375887,360
qwen3_4b,tc,nat,3,0.341660,0.301108,360
qwen3_4b,tc,nat,5,0.275923,0.240879,360
qwen3_4b,tc,nat,7,0.370593,0.314130,360
qwen3_4b,wp_a,coh,3,0.297030,0.253512,400
qwen3_4b,wp_a,coh,5,0.215360,0.185343,400
qwen3_4b,wp_a,coh,7,0.306128,0.259185,400
qwen3_4b,wp_a,enj,3,0.104481,0.089554,400
qwen3_4b,wp_a,enj,5,0.096483,0.082696,400
qwen3_4b,wp_a,enj,7,0.224371,0.184381,400
qwen3_4b,wp_a,gra,3,0.170150,0.148265,400
qwen3_4b,wp_a,gra,5,0.113454,0.098623,400
qwen3_4b,wp_a,gra,7,0.291689,0.252639,400
qwen3_4b,wp_a,rel,3,0.429214,0.359724,400
qwen3_4b,wp_a,rel,5,0.342084,0.285591,400
qwen3_4b,wp_a,rel,7,0.431485,0.344680,400
mistral_7b,summeval,coh,3,0.401961,0.342643,1600
mistral_7b,summeval,coh,5,0.456344,0.371483,1600
mistral_7b,summeval,coh,7,0.449810,0.366152,1600
mistral_7b,summeval,con,3,0.447076,0.425724,1600
mistral_7b,summeval,con,5,0.432161,0.404818,1600
mistral_7b,summeval,con,7,0.391852,0.346882,1600
mistral_7b,summeval,flu,3,0.289652,0.269592,1600
mistral_7b,summeval,flu,5,0.259794,0.238410,1600
mistral_7b,summeval,flu,7,0.302605,0.278020,1600
mistral_7b,summeval,rel,3,0.442009,0.381991,1600
mistral_7b,summeval,rel,5,0.476553,0.405044,1600
mistral_7b,summeval,rel,7,0.480741,0.390667,1600
mistral_7b,newsroom,coh,3,0.480712,0.407711,420
mistral_7b,newsroom,coh,5,0.472058,0.393157,420
mistral_7b,newsroom,coh,7,0.524079,0.423379,420
mistral_7b,newsroom,flu,3,0.472677,0.405676,420
mistral_7b,newsroom,flu,5,0.472933,0.398153,420
mistral_7b,newsroom,flu,7,0.487938,0.405595,420
mistral_7b,newsroom,inf,3,0.555165,0.464868,420
mistral_7b,newsroom,inf,5,0.579167,0.478449,420
mistral_7b,newsroom,inf,7,0.600606,0.485008,420
mistral_7b,newsroom,rel,3,0.542641,0.454094,420
mistral_7b,newsroom,rel,5,0.542794,0.444645,420
mistral_7b,newsroom,rel,7,0.527170,0.419157,420
mistral_7b,tc,coh,3,0.464395,0.410560,360
mistral_7b,tc,coh,5,0.467377,0.401078,360
mistral_7b,tc,coh,7,0.480325,0.395161,360
mistral_7b,tc,eng,3,0.557666,0.481933,360
mistral_7b,tc,eng,5,0.576280,0.478923,360
mistral_7b,tc,eng,7,0.612261,0.505049,360
mistral_7b,tc,gro,3,0.458372,0.410319,360
mistral_7b,tc,gro,5,0.443615,0.386501,360
mistral_7b,tc,gro,7,0.406187,0.344880,360
mistral_7b,tc,nat,3,0.410342,0.356795,360
mistral_7b,tc,nat,5,0.391111,0.323474,360
mistral_7b,tc,nat,7,0.417894,0.334814,360
mistral_7b,wp_a,coh,3,0.323703,0.270773,400
mistral_7b,wp_a,coh,5,0.391479,0.326529,400
mistral_7b,wp_a,coh,7,0.341564,0.272773,400
mistral_7b,wp_a,enj,3,0.275951,0.228919,400
mistral_7b,wp_a,enj,5,0.277924,0.225681,400
mistral_7b,wp_a,enj,7,0.271554,0.214296,400
mistral_7b,wp_a,gra,3,0.251110,0.215254,400
mistral_7b,wp_a,gra,5,0.205872,0.172149,400
mistral_7b,wp_a,gra,7,0.262906,0.213627,400
mistral_7b,wp_a,rel,3,0.426025,0.350775,400
mistral_7b,wp_a,rel,5,0.343826,0.279517,400
mistral_7b,wp_a,rel,7,0.470090,0.370943,400
llama31_8b,summeval,coh,3,0.272297,0.232573,1600
llama31_8b,summeval,coh,5,0.308657,0.262956,1600
llama31_8b,summeval,coh,7,0.336868,0.285706,1600
llama31_8b,summeval,con,3,0.371600,0.357256,1585
llama31_8b,summeval,con,5,0.267408,0.256775,1592
llama31_8b,summeval,con,7,0.385894,0.363392,1584
llama31_8b,summeval,flu,3,0.064154,0.060559,1316
llama31_8b,summeval,flu,5,0.094235,0.087146,1408
llama31_8b,summeval,flu,7,0.081168,0.076228,1410
llama31_8b,summeval,rel,3,0.255263,0.221168,1600
llama31_8b,summeval,rel,5,0.168050,0.145290,1600
llama31_8b,summeval,rel,7,0.342653,0.294965,1600
llama31_8b,newsroom,coh,3,0.336666,0.290930,418
llama31_8b,newsroom,coh,5,0.361824,0.309086,419
llama31_8b,newsroom,coh,7,0.328079,0.270899,420
llama31_8b,newsroom,flu,3,0.372945,0.320990,328
llama31_8b,newsroom,flu,5,0.240338,0.202936,338
llama31_8b,newsroom,flu,7,0.113932,0.097788,351
llama31_8b,newsroom,inf,3,0.106819,0.091978,405
llama31_8b,newsroom,inf,5,0.192384,0.163832,396
llama31_8b,newsroom,inf,7,0.189020,0.158003,399
llama31_8b,newsroom,rel,3,0.348836,0.302443,419
llama31_8b,newsroom,rel,5,0.341726,0.291690,416
llama31_8b,newsroom,rel,7,0.358962,0.299102,418
llama31_8b,tc,coh,3,0.275809,0.250522,334
llama31_8b,tc,coh,5,0.371663,0.317169,347
llama31_8b,tc,coh,7,0.326436,0.281540,341
llama31_8b,tc,eng,3,0.284302,0.242393,359
llama31_8b,tc,eng,5,0.427094,0.351543,358
llama31_8b,tc,eng,7,0.448776,0.369263,358
llama31_8b,tc,gro,3,0.397305,0.361665,327
llama31_8b,tc,gro,5,0.357685,0.306240,292
llama31_8b,tc,gro,7,0.421197,0.351667,341
llama31_8b,tc,nat,3,0.211215,0.183224,332
llama31_8b,tc,nat,5,0.302651,0.254499,334
llama31_8b,tc,nat,7,0.349709,0.288269,303
llama31_8b,wp_a,coh,3,0.321106,0.277276,400
llama31_8b,wp_a,coh,5,0.348200,0.289188,399
llama31_8b,wp_a,coh,7,0.324028,0.264832,398
llama31_8b,wp_a,enj,3,0.033285,0.028426,339
llama31_8b,wp_a,enj,5,0.025265,0.021113,353
llama31_8b,wp_a,enj,7,0.076129,0.063404,369
llama31_8b,wp_a,gra,3,0.287380,0.250334,397
llama31_8b,wp_a,gra,5,0.338473,0.292726,396
llama31_8b,wp_a,gra,7,0.351595,0.285862,397
llama31_8b,wp_a,rel,3,0.365395,0.306760,396
llama31_8b,wp_a,rel,5,0.388086,0.318059,390
llama31_8b,wp_a,rel,7,0.364078,0.289412,386
llama31_70b,summeval,coh,3,0.538117,0.457803,1600
llama31_70b,summeval,coh,5,0.579340,0.482576,1600
llama31_70b,summeval,coh,7,0.602233,0.496883,1600
llama31_70b,summeval,con,3,0.574148,0.550837,1594
llama31_70b,summeval,con,5,0.482944,0.450325,1595
llama31_70b,summeval,con,7,0.618438,0.585144,1594
llama31_70b,summeval,flu,3,0.156339,0.144969,1572
llama31_70b,summeval,flu,5,0.225900,0.205553,1593
llama31_70b,summeval,flu,7,0.193312,0.169309,1595
llama31_70b,summeval,rel,3,0.480803,0.416156,1599
llama31_70b,summeval,rel,5,0.552736,0.463728,1600
llama31_70b,summeval,rel,7,0.551239,0.450074,1600
llama31_70b,newsroom,coh,3,0.423506,0.360331,419
llama31_70b,newsroom,coh,5,0.531218,0.454050,419
llama31_70b,newsroom,coh,7,0.550535,0.465000,419
llama31_70b,newsroom,flu,3,0.561140,0.477157,386
llama31_70b,newsroom,flu,5,0.583841,0.485416,411
llama31_70b,newsroom,flu,7,0.620345,0.511099,410
llama31_70b,newsroom,inf,3,0.515377,0.436342,419
llama31_70b,newsroom,inf,5,0.504063,0.404965,419
llama31_70b,newsroom,inf,7,0.494123,0.396446,417
llama31_70b,newsroom,rel,3,0.395483,0.335196,420
llama31_70b,newsroom,rel,5,0.483770,0.401006,420
llama31_70b,newsroom,rel,7,0.574353,0.474047,420
llama31_70b,tc,coh,3,0.475294,0.424859,349
llama31_70b,tc,coh,5,0.518319,0.441484,342
llama31_70b,tc,coh,7,0.537047,0.453896,344
llama31_70b,tc,eng,3,0.572702,0.495530,339
llama31_70b,tc,eng,5,0.585855,0.500779,344
llama31_70b,tc,eng,7,0.632493,0.533096,344
llama31_70b,tc,gro,3,0.555040,0.507579,333
llama31_70b,tc,gro,5,0.536477,0.467956,350
llama31_70b,tc,gro,7,0.582814,0.501086,349
llama31_70b,tc,nat,3,0.520340,0.436166,344
llama31_70b,tc,nat,5,0.466713,0.376564,353
llama31_70b,tc,nat,7,0.481311,0.376716,344
llama31_70b,wp_a,coh,3,0.578940,0.482010,398
llama31_70b,wp_a,coh,5,0.569085,0.470092,397
llama31_70b,wp_a,coh,7,0.578188,0.468175,398
llama31_70b,wp_a,enj,3,0.376210,0.314824,387
llama31_70b,wp_a,enj,5,0.373730,0.312993,388
llama31_70b,wp_a,enj,7,0.380383,0.307562,383
llama31_70b,wp_a,gra,3,0.341368,0.295482,399
llama31_70b,wp_a,gra,5,0.430533,0.358556,399
llama31_70b,wp_a,gra,7,0.447208,0.358272,399
llama31_70b,wp_a,rel,3,0.595850,0.493576,389
llama31_70b,wp_a,rel,5,0.511612,0.416985,389
llama31_70b,wp_a,rel,7,0.537659,0.432784,396
gemini2_flash,summeval,coh,3,0.482354,0.404596,1591
gemini2_flash,summeval,coh,5,0.532583,0.436736,1600
gemini2_flash,summeval,coh,7,0.527527,0.423794,1599
gemini2_flash,summeval,con,3,0.544830,0.520441,1582
gemini2_flash,summeval,con,5,0.601516,0.570076,1591
gemini2_flash,summeval,con,7,0.527277,0.494080,1600
gemini2_flash,summeval,flu,3,0.360090,0.330539,1600
gemini2_flash,summeval,flu,5,0.350459,0.312846,1600
gemini2_flash,summeval,flu,7,0.340501,0.296947,1600
gemini2_flash,summeval,rel,3,0.363694,0.311572,1585
gemini2_flash,summeval,rel,5,0.502585,0.412619,1600
gemini2_flash,summeval,rel,7,0.512360,0.429916,1600
gemini2_flash,newsroom,coh,3,0.373631,0.314843,419
gemini2_flash,newsroom,coh,5,0.527113,0.437325,420
gemini2_flash,newsroom,coh,7,0.544541,0.450211,420
gemini2_flash,newsroom,flu,3,0.469444,0.399783,419
gemini2_flash,newsroom,flu,5,0.461265,0.371832,420
gemini2_flash,newsroom,flu,7,0.526227,0.426219,420
gemini2_flash,newsroom,inf,3,0.416839,0.351471,413
gemini2_flash,newsroom,inf,5,0.459991,0.373054,412
gemini2_flash,newsroom,inf,7,0.541212,0.435433,417
gemini2_flash,newsroom,rel,3,0.294656,0.248172,420
gemini2_flash,newsroom,rel,5,0.404317,0.324875,420
gemini2_flash,newsroom,rel,7,0.518644,0.414891,420
gemini2_flash,tc,coh,3,0.459143,0.419708,288
gemini2_flash,tc,coh,5,0.487971,0.414898,277
gemini2_flash,tc,coh,7,0.514177,0.423869,310
gemini2_flash,tc,eng,3,0.549288,0.471248,290
gemini2_flash,tc,eng,5,0.536265,0.451064,300
gemini2_flash,tc,eng,7,0.603333,0.489433,294
gemini2_flash,tc,gro,3,0.443144,0.414530,307
gemini2_flash,tc,gro,5,0.462339,0.418642,288
gemini2_flash,tc,gro,7,0.472353,0.425985,307
gemini2_flash,tc,nat,3,0.478776,0.406838,310
gemini2_flash,tc,nat,5,0.492135,0.390923,293
gemini2_flash,tc,nat,7,0.527512,0.411949,273
gemini2_flash,wp_a,coh,3,0.560239,0.468547,367
gemini2_flash,wp_a,coh,5,0.578234,0.474417,373
gemini2_flash,wp_a,coh,7,0.580059,0.470360,389
gemini2_flash,wp_a,enj,3,0.398718,0.324903,300
gemini2_flash,wp_a,enj,5,0.372059,0.307106,356
gemini2_flash,wp_a,enj,7,0.427389,0.338864,374
gemini2_flash,wp_a,gra,3,0.265146,0.224311,400
gemini2_flash,wp_a,gra,5,0.322635,0.266742,400
gemini2_flash,wp_a,gra,7,0.331181,0.262890,400
gemini2_flash,wp_a,rel,3,0.503888,0.420963,400
gemini2_flash,wp_a,rel,5,0.540195,0.426232,393
gemini2_flash,wp_a,rel,7,0.567023,0.451076,399
gemini3_flash,summeval,coh,3,0.521293,0.439207,1259
gemini3_flash,summeval,coh,5,0.632317,0.521491,1174
gemini3_flash,summeval,coh,7,0.527742,0.418578,983
gemini3_flash,summeval,con,3,0.473062,0.455349,958
gemini3_flash,summeval,con,5,0.574877,0.549785,1228
gemini3_flash,summeval,con,7,0.576650,0.554773,1249
gemini3_flash,summeval,flu,3,0.220872,0.208949,1414
gemini3_flash,summeval,flu,5,0.439714,0.415982,1368
gemini3_flash,summeval,flu,7,0.338059,0.318022,1392
gemini3_flash,summeval,rel,3,0.426829,0.365559,1251
gemini3_flash,summeval,rel,5,0.508365,0.419513,1344
gemini3_flash,summeval,rel,7,0.458729,0.382673,1349
gemini3_flash,newsroom,coh,3,0.516844,0.434111,295
gemini3_flash,newsroom,coh,5,0.560606,0.455219,270
gemini3_flash,newsroom,coh,7,0.524941,0.422807,243
gemini3_flash,newsroom,flu,3,0.257077,0.221363,285
gemini3_flash,newsroom,flu,5,0.416892,0.343747,320
gemini3_flash,newsroom,flu,7,0.237611,0.196118,290
gemini3_flash,newsroom,inf,3,0.534099,0.450899,265
gemini3_flash,newsroom,inf,5,0.510302,0.422577,290
gemini3_flash,newsroom,inf,7,0.529315,0.432255,335
gemini3_flash,newsroom,rel,3,0.407607,0.340917,235
gemini3_flash,newsroom,rel,5,0.510239,0.412461,250
gemini3_flash,newsroom,rel,7,0.601563,0.491637,230
gemini3_flash,tc,coh,3,0.576796,0.525165,294
gemini3_flash,tc,coh,5,0.596102,0.514153,270
gemini3_flash,tc,coh,7,0.556007,0.465370,199
gemini3_flash,tc,eng,3,0.664636,0.572340,245
gemini3_flash,tc,eng,5,0.633113,0.535282,227
gemini3_flash,tc,eng,7,0.642578,0.524316,172
gemini3_flash,tc,gro,3,0.551929,0.513257,199
gemini3_flash,tc,gro,5,0.579286,0.529326,237
gemini3_flash,tc,gro,7,0.522464,0.458987,242
gemini3_flash,tc,nat,3,0.570202,0.488345,336
gemini3_flash,tc,nat,5,0.582012,0.470238,338
gemini3_flash,tc,nat,7,0.553445,0.444448,292
gemini3_flash,wp_a,coh,3,0.476115,0.402290,257
gemini3_flash,wp_a,coh,5,0.571335,0.462853,220
gemini3_flash,wp_a,coh,7,0.589868,0.479649,211
gemini3_flash,wp_a,enj,3,0.309352,0.252691,170
gemini3_flash,wp_a,enj,5,0.418605,0.345407,177
gemini3_flash,wp_a,enj,7,0.245624,0.191528,203
gemini3_flash,wp_a,gra,3,0.191547,0.165430,169
gemini3_flash,wp_a,gra,5,0.333071,0.284431,187
gemini3_flash,wp_a,gra,7,0.363307,0.300402,206
gemini3_flash,wp_a,rel,3,0.574568,0.481526,229
gemini3_flash,wp_a,rel,5,0.472905,0.381679,295
gemini3_flash,wp_a,rel,7,0.464783,0.363275,298
gemini31_pro,summeval,coh,3,0.654380,0.553538,1458
gemini31_pro,summeval,coh,5,0.667325,0.539944,1476
gemini31_pro,summeval,coh,7,0.661793,0.527103,1479
gemini31_pro,summeval,con,3,0.547708,0.526161,1394
gemini31_pro,summeval,con,5,0.611493,0.576337,1418
gemini31_pro,summeval,con,7,0.566955,0.530261,1453
gemini31_pro,summeval,flu,3,0.436114,0.410615,1467
gemini31_pro,summeval,flu,5,0.386320,0.343674,1454
gemini31_pro,summeval,flu,7,0.396884,0.349387,1466
gemini31_pro,summeval,rel,3,0.531928,0.448506,1459
gemini31_pro,summeval,rel,5,0.554756,0.451440,1485
gemini31_pro,summeval,rel,7,0.542482,0.433381,1509
gemini31_pro,newsroom,coh,3,0.351153,0.302208,399
gemini31_pro,newsroom,coh,5,0.430280,0.359621,405
gemini31_pro,newsroom,coh,7,0.407649,0.340304,403
gemini31_pro,newsroom,flu,3,0.426691,0.363094,388
gemini31_pro,newsroom,flu,5,0.448363,0.359545,391
gemini31_pro,newsroom,flu,7,0.476263,0.375396,389
gemini31_pro,newsroom,inf,3,0.361103,0.308928,396
gemini31_pro,newsroom,inf,5,0.414881,0.342285,398
gemini31_pro,newsroom,inf,7,0.370805,0.298879,406
gemini31_pro,newsroom,rel,3,0.216160,0.185843,403
gemini31_pro,newsroom,rel,5,0.308021,0.256803,411
gemini31_pro,newsroom,rel,7,0.406865,0.327590,400
gemini31_pro,tc,coh,3,0.568891,0.524204,326
gemini31_pro,tc,coh,5,0.544840,0.465232,314
gemini31_pro,tc,coh,7,0.586849,0.506561,297
gemini31_pro,tc,eng,3,0.507907,0.436864,321
gemini31_pro,tc,eng,5,0.569673,0.490460,322
gemini31_pro,tc,eng,7,0.572099,0.486803,326
gemini31_pro,tc,gro,3,0.313243,0.292017,312
gemini31_pro,tc,gro,5,0.318685,0.280185,322
gemini31_pro,tc,gro,7,0.308443,0.276928,310
gemini31_pro,tc,nat,3,0.509350,0.441094,301
gemini31_pro,tc,nat,5,0.529358,0.435158,310
gemini31_pro,tc,nat,7,0.491166,0.388603,295
gemini31_pro,wp_a,coh,3,0.542629,0.468712,371
gemini31_pro,wp_a,coh,5,0.576246,0.472554,374
gemini31_pro,wp_a,coh,7,0.610270,0.496323,366
gemini31_pro,wp_a,enj,3,0.350095,0.292043,349
gemini31_pro,wp_a,enj,5,0.417070,0.351428,346
gemini31_pro,wp_a,enj,7,0.414382,0.329473,341
gemini31_pro,wp_a,gra,3,0.310568,0.264523,352
gemini31_pro,wp_a,gra,5,0.438207,0.365646,373
gemini31_pro,wp_a,gra,7,0.460803,0.373214,358
gemini31_pro,wp_a,rel,3,0.364558,0.307056,356
gemini31_pro,wp_a,rel,5,0.426422,0.352841,354
gemini31_pro,wp_a,rel,7,0.482654,0.392228,354
