judge,capability,canonical_spearman,best_std_range_spearman,best_std_spearman,gain_spearman,canonical_kendall,best_std_range_kendall,best_std_kendall,gain_kendall
LLaMA-3.1-8B,instruction_following,0.3833,"[0,1]",0.4549,+0.072,0.3354,"[0,1]",0.3989,+0.063
LLaMA-3.1-8B,planning,0.4080,"[0,100]",0.4615,+0.053,0.3587,"[0,100]",0.4017,+0.043
LLaMA-3.1-8B,reasoning,0.2663,"[0,1]",0.3603,+0.094,0.2312,"[0,1]",0.3140,+0.083
LLaMA-3.1-8B,refinement,0.2920,"[1,5]",0.2920,+0.000,0.2486,"[1,5]",0.2486,+0.000
LLaMA-3.1-8B,safety,0.4681,"[0,1]",0.5313,+0.063,0.4173,"[0,1]",0.4695,+0.052
LLaMA-3.1-8B,theory_of_mind,0.2653,"[0,1]",0.4065,+0.141,0.2326,"[0,1]",0.3605,+0.128
LLaMA-3.1-8B,tool_usage,0.2570,"[0,1]",0.4285,+0.172,0.2214,"[0,1]",0.3593,+0.138
Mistral-7B,grounding,0.2649,"[1,3]",0.3331,+0.068,0.2347,"[1,3]",0.2991,+0.064
Mistral-7B,instruction_following,0.1603,"[1,3]",0.1892,+0.029,0.1380,"[1,3]",0.1665,+0.029
Mistral-7B,planning,0.1632,"[1,5]",0.1632,+0.000,0.1431,"[1,5]",0.1431,+0.000
Mistral-7B,reasoning,0.0888,"[1,3]",0.1226,+0.034,0.0792,"[1,3]",0.1078,+0.029
Mistral-7B,refinement,0.1290,"[0,10]",0.1522,+0.023,0.1065,"[0,10]",0.1227,+0.016
Mistral-7B,safety,0.4341,"[1,5]",0.4341,+0.000,0.3811,"[1,5]",0.3811,+0.000
Mistral-7B,theory_of_mind,0.2317,"[1,5]",0.2317,+0.000,0.2010,"[1,5]",0.2010,+0.000
Mistral-7B,tool_usage,0.3461,"[0,10]",0.3763,+0.030,0.2866,"[1,3]",0.3082,+0.022
